Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IGLV1-40,1.7596353850697302,4.577714447070288,1.185942615115397,3.8599797230702078,1.1339643425819422e-4,9.048018489700409e-4
SAA1,19.138494202099587,4.327477201886898,0.6175039814708634,7.008015060209111,2.4172279428078837e-12,2.701399618035542e-10
IGLV2-14,1.9340720203063495,3.958424432235056,0.813328684798107,4.86694310212071,1.1333764123291337e-6,1.9615224631887026e-5
SLC6A10P,11.702074051098712,3.945613771876261,0.6898332928570997,5.7196627253732775,1.0673571008635978e-8,3.550366777609441e-7
ELAVL2,3.7149196981504824,3.9022606718575843,0.5074365818790622,7.69014456428688,1.4696886991186624e-14,3.132145869470563e-12
CACNA1E,2.9550183178288156,3.8609433886658415,0.8621691186400872,4.478174067236099,7.528420468790246e-6,9.676079267320312e-5
KCNE5,2.5810277997404354,3.7752611840669235,0.693206718390691,5.446082797396069,5.149117511315841e-8,1.4085526230954737e-6
IGLC3,5.827271628371004,3.7213649118424423,0.8290432579593328,4.488746366507437,7.164353544370888e-6,9.240553959270207e-5
DNAH11,3.6964162534078304,3.6604320780676227,0.5631156537784372,6.500320233519653,8.014921319968216e-11,5.190723602557508e-9
SCN5A,6.215190346922187,3.598383166137565,0.5952928281080806,6.0447278989967055,1.4966236613061466e-9,6.706630431398302e-8
METTL21C,41.95483071115565,3.5636949428797964,0.46563971602244164,7.653331149072437,1.9583873400837666e-14,3.901448170549486e-12
IGHV3-23,2.2612051247828946,3.556907378936947,0.9158843703901398,3.883576894561274,1.0293095960308323e-4,8.358522940209612e-4
IGHG1,24.3396857160776,3.5390508059692882,0.5240861208019322,6.75280391046036,1.4501487728732255e-11,1.2025295474258843e-9
CERKL,2.420302825432814,3.470875824226621,0.6407086415466112,5.417245217495816,6.052430622700179e-8,1.6313080654830719e-6
IGKV3-15,1.4264072642469703,3.4657026836900937,0.907858152264868,3.8174495377323807,1.3483835461509556e-4,0.0010498374525851621
KCNC2,1.1294083990201438,3.4333662125896613,0.977049564229997,3.5140143737697307,4.4138892798042663e-4,0.002790540280105298
COL19A1,3.438452872848477,3.392994811483263,0.5614860317849705,6.042883739595256,1.5138374149159061e-9,6.734371878781245e-8
IGHG2,11.011217320996094,3.37407829049935,0.64831101411502,5.2044130317686355,1.9461073544964507e-7,4.3926423144348464e-6
IGLC2,7.905057845124657,3.25889189896502,0.6172507809059978,5.279688580031658,1.2940363504638737e-7,3.120670819908142e-6
IGHM,22.51067043388845,3.2233848905034344,0.6215639132016305,5.185926695615279,2.1494334880305128e-7,4.804245971783322e-6
CYP3A5,2.0406779241912503,3.1960705984376823,0.5781892518794212,5.527723990110091,3.244118990172216e-8,9.378267011336969e-7
NHLH2,1.144507282687971,3.1613065291513887,0.6580295119133379,4.804201744628942,1.5537011104589985e-6,2.544793025245087e-5
IGKC,54.83048709860054,3.14768675505587,0.4362417330708102,7.215464538201212,5.375016690092324e-13,6.986759283405114e-11
ADH4,1.0501825456349003,3.1431391378237166,0.7720013011432725,4.071416891615309,4.672803421463638e-5,4.367319791360814e-4
PRR32,2.656239706280284,3.1257521540895814,0.6309938929100877,4.953696365703146,7.281680244133236e-7,1.3506370466938714e-5
NEFL,0.7424749050095165,3.0159124287678987,0.8327280676848742,3.6217254417191063,2.926446211410105e-4,0.001992522789444489
IGLV2-23,0.7633143150157398,3.011184130693128,0.9514415669984644,3.164865016558592,0.0015515491267783627,0.007700187488652541
GRB7,1.8883796581236152,2.987683719640137,0.6209604499516749,4.811391321094037,1.4988322848370409e-6,2.4703775284616264e-5
SYT1,1.2395187488168045,2.9714824928211434,0.5641421266647636,5.267258643471099,1.3847604216964786e-7,3.304673048027742e-6
NPC1L1,2.891627546442797,2.9656173157604795,0.49431317522906226,5.999470506498693,1.979619802303483e-9,8.503434168259582e-8
COL20A1,1.0063174907168286,2.948963099704469,0.7807178761595213,3.7772455194838117,1.58572394838134e-4,0.0012029448893184271
NPTX1,27.88818171978853,2.9314761539331156,0.3922418487928635,7.473644545972911,7.800366798411848e-14,1.3116066301035995e-11
PSD2,4.61621957284372,2.9135111133581466,0.49906689574309754,5.837916997119204,5.285747669201082e-9,1.9414921243934527e-7
IGKV4-1,0.9923604163027895,2.9106813498755773,0.7782075718996898,3.740237765574917,1.8384626378058433e-4,0.0013565354753304942
KCTD16,1.6387233222481086,2.895867029798527,0.6271932522312034,4.617184606971853,3.889812166642795e-6,5.4882584596019367e-05
IGHV3-15,0.6542107694399322,2.892912728605203,1.7400400114445491,1.662555291589853,0.09640148680373947,0.2047330764935037
SAA2,4.10507180314575,2.8605714768629853,0.7716837936462019,3.7069217993380423,2.0979368825851995e-4,0.001510844290138371
KRT80,3.6113031503347393,2.8511032668066267,0.7635633347667679,3.7339446997903623,1.8850390078393883e-4,0.0013830662504275544
GABRB2,4.875331991717244,2.833076518051782,0.3724247808027854,7.607110654519027,2.802913256271069e-14,5.4650844852059734e-12
FGF21,0.9233236259868185,2.824190612994148,0.709504243070612,3.9805126474952965,6.876680573727575e-5,5.987449005001378e-4
LMO7-AS1,1.1379178195879383,2.7964284583690273,0.8939256430323711,3.1282562259686317,0.0017584681244354992,0.008537227262664296
NSG2,1.1511001419341342,2.7817971268779393,0.6426522764579324,4.328619424193441,1.500469621359378e-5,1.7187879512671676e-4
IGHA2,3.130072789299056,2.7802307108623943,0.6083772858357167,4.569912085135201,4.879288550763797e-6,6.648892234825195e-5
PRL,1.5949615063388776,2.773219370844771,0.6834981389215949,4.05739125379373,4.962391069782025e-5,4.5772875453933045e-4
IGLV3-25,0.6739237735401423,2.7527536413457567,1.2487004634257526,2.2044947703420426,0.02748956733484462,0.0769321713411257
FMN2,1.034031741479083,2.7371081524973735,0.7840592853739549,3.49094539603841,4.813146124487712e-4,0.0029995016038629986
SYT14,1.4980706680779476,2.720548148087698,0.7031903711453129,3.8688643356373578,1.0934345674694863e-4,8.781975789912683e-4
IGHG3,11.011472665689837,2.686400198977806,0.737440460856268,3.6428706337302574,2.696143586626816e-4,0.0018640105490643636
IFITM10,1.5980965335196942,2.6787676547312165,0.5843816106046601,4.583935575863679,4.563048805452297e-6,6.269232271838808e-5
CHI3L1,1.9745140809347688,2.676929395484319,0.6816825942356234,3.926944032487705,8.60319901351974e-5,7.229685076560742e-4
FEZF1-AS1,1.2879019931065143,2.623328459176301,0.7165199359196086,3.6612079129513995,2.510289377968782e-4,0.0017567233188015214
NWD1,4.649584188288335,2.6084801740168473,0.3700518652172648,7.048958319627323,1.8026213201627835e-12,2.104359462162006e-10
LINC01916,4.155280143308343,2.586283232937523,0.4990315132732498,5.182605034246358,2.1880807134602845e-7,4.878727897360109e-6
GARIN1B,0.630137183923783,2.5840308663943925,0.686426452771054,3.764468656420286,1.6690360077011596e-4,0.001255235615475866
HBM,1.1317760906480372,2.5783918706537454,0.9031576962443052,2.85486342127819,0.004305534015758178,0.017665508717442557
ARHGAP36,51.146857254952074,2.573636679112488,0.3354626122726097,7.6719031717938595,1.6946286353220797e-14,3.5700176584118477e-12
ZFR2,0.9427731056684733,2.5685184546840767,0.6579807307847637,3.903637803527534,9.475755655122896e-5,7.81952497285423e-4
IGLV3-19,0.6371931573726325,2.5626995722148767,0.8824307387892841,2.9041367889461345,0.003682672232448024,0.015573607908700366
BCAS1,1.0749609685995665,2.5539354690160248,0.8945373235342079,2.8550351134883196,0.004303207098342061,0.017665508717442557
SLC7A11,1.4659321973695887,2.5532080982616447,0.5836314731553817,4.374692277059393,1.2160389700476623e-5,1.4416275707007474e-4
JAKMIP1,0.42815619630861235,2.546288362850772,1.154084362852034,2.2063277562813957,0.027361059310960074,0.07665446271037546
HAP1,2.05768056548357,2.5351930224399766,0.5014750897752718,5.055471496253351,4.2932875048037055e-7,8.666010285026687e-6
LINC02177,0.8921363225625603,2.532869360101179,0.6275836287897609,4.035907318018463,5.439168625797265e-5,4.933798105918695e-4
LTK,2.1319933018493042,2.516760586847866,0.5680319034828853,4.430667663939928,9.394177316772688e-6,1.1670974365323277e-4
CGA,0.6404668152315929,2.5065014107585415,0.9493633549962339,2.640191869180041,0.008285910204799133,0.029684159936192046
CLDN1,4.349796768849541,2.505310787629922,0.5873764555002753,4.265255721726401,1.9967337141390825e-5,2.1788901044388314e-4
TNNT2,51.56263151606454,2.504725771823691,0.27770164118902513,9.01948494470287,1.8897567488588166e-19,1.86292795958386e-16
INS-IGF2,1.11492663011459,2.5029722048702414,0.6757272598708557,3.7041160739150985,2.1212911569482913e-4,0.0015198993090128335
SNAP91,3.0328503524767365,2.5001439973769837,0.5435613678280052,4.5995616049153885,4.2338097754238955e-6,5.883037571187957e-5
PURPL,0.9129272688986536,2.4928304313752934,0.7284648198252678,3.4220326960651755,6.215483881839743e-4,0.0036806910690261327
DNAH6,0.8048776551176028,2.483852296074771,0.6381124230691935,3.892499513060625,9.921669882858524e-5,8.118052036296028e-4
TJP3,3.9019977601132796,2.4787475885108274,0.5151632619964279,4.811576778407803,1.4974418739318902e-6,2.4703073506231935e-5
SNAP25,0.924901091194253,2.476463515025039,0.8551614327293776,2.8959017797622484,0.003780707120762881,0.015903787034505873
PYY2,0.7344431087089173,2.4659296959464894,0.7148784988619166,3.44943889048592,5.617528611187781e-4,0.003389008044300515
GCNT2,38.56924668051645,2.4385497824845848,0.26427936482893466,9.227166805335079,2.7788466586842634e-20,3.7814599691514756e-17
DACT2,4.086991360617522,2.4358237851030693,0.43214141168933984,5.636635877086799,1.7340422416399806e-8,5.423468635627571e-7
