Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ITLN1,1.563147608747081,3.820537311538509,0.966946751617868,3.9511351634886758,7.778137757300004e-5,NA
LEP,12.854243356454592,2.6106212689907373,0.5968910009709867,4.373698488909925,1.2215907079257085e-5,0.001584531736675215
PEX5L,1.9470112553273513,2.4364249189275684,0.5073544343173709,4.802214692783162,1.569203129806245e-6,NA
LINC02660,0.5670779062749711,2.4043319503368084,0.7258283962483946,3.3125349776395256,9.245456429318096e-4,NA
MAL2,0.9892523501207279,2.380322539162287,0.8598769509376791,2.7682129827606046,0.005636460778537653,NA
KLB,3.599736694989325,2.3146744393028778,0.6670569906085273,3.4699800345264356,5.204970537661281e-4,0.012120614069353917
EGFL6,1.2342533766617454,2.247479801257678,0.8735591301999137,2.5727849707704884,0.010088386499540814,NA
MRAP,1.1280962445018774,2.2377960603913105,0.5037824838669187,4.44198862019676,8.913127509319395e-6,NA
TEX56P,0.6870778382547699,2.118084721071635,0.4813772601565221,4.4000514697826185,1.082252053897104e-5,NA
SLC7A10,1.222313608721076,2.1026007071988944,0.6323282139026075,3.325173005047567,8.836368517880893e-4,NA
PCK1,2.858097490447112,2.0707104746627967,0.6109847963393888,3.3891358460457695,7.011326638897913e-4,0.014366783744615667
LRTM1,0.9888132501007268,2.0085390666914935,0.5670956631178713,3.541799377636956,3.9740760547350246e-4,NA
ADIPOQ,73.71353757372125,1.9885944087783314,0.48359984515585364,4.112065850925678,3.921344072291411e-5,0.002791456768041553
HEPACAM,1.6700054656620265,1.9728899512092684,0.5283581856563152,3.7340009197710957,1.88461804491184e-4,NA
NNAT,1.0460529185183574,1.9440041461738273,0.5919164216028243,3.2842544575968082,0.0010225255561397645,NA
SAA4,0.3540701220780582,1.9361914919220653,0.9686520467912599,1.998851391824195,0.04562443536994743,NA
CIDEA,6.635077294112423,1.9352467440740488,0.48234722123857615,4.012144486091787,6.016965268954949e-5,0.0034629864962327124
ACRP1,0.393945406840178,1.9136236833768137,0.7123612029396762,2.686310926928543,0.007224582407913188,NA
ENTPD8,0.5910935158534489,1.9092173608369298,0.7545193869421789,2.530375486539008,0.01139405180770327,NA
LOC100505664,0.9447881577097876,1.883301087833364,0.5515476172482205,3.4145756938077683,6.38814407854217e-4,NA
CCL16,0.5011863292205777,1.8762024414969476,0.6542547298389869,2.867694119626287,0.004134750676611944,NA
LINC02433,0.35680761785781223,1.8652478218485569,1.1790029564935447,1.5820552540393646,0.11363695728139839,NA
PLEKHG6,1.1482482584117828,1.8281342212209162,0.5139760210773501,3.556847296862111,3.753321805618232e-4,NA
CIDEC,16.41905107948869,1.8242154484454536,0.5143706060545831,3.5465001828892895,3.9038447143432243e-4,0.010180979151850662
TJP3,3.9019977601132796,1.8191579170232,0.4028921585452649,4.515247761564011,6.324278217374741e-6,0.001087408162794422
CALB2,1.9842579126732862,1.8064101268348127,0.5472861169265222,3.3006686465561095,9.645472449560682e-4,NA
GYG2,7.394696911560986,1.789655051767005,0.5337606174768099,3.3529170065544585,7.996468069443005e-4,0.015620049318738933
LIPF,0.47807716939722245,1.78142278083897,0.7450643577575052,2.3909649714028682,0.01680415603263896,NA
GRIA2,1.8364447325569575,1.760596915764184,0.5161335749849564,3.4111265011494356,6.469506879850346e-4,NA
KCNK17,0.3800509054133837,1.7591492263880035,0.8676782111856679,2.027421230255575,0.04261935257416991,NA
CD177,0.40770662195185975,1.758179725575265,0.9981238499688807,1.7614845348401214,0.0781564282846536,NA
CACNA1E,2.9550183178288156,1.7469184465963816,0.8004635500452618,2.1823835032808216,0.029081240803960268,0.13411102459071894
COMP,1.0986039537487489,1.7388721887329457,0.6392063250187706,2.7203613616962925,0.006521061023103887,NA
RBP4,12.06037452476024,1.7220445718363862,0.4578670097637157,3.7610147381552013,1.6922545764385741e-4,0.006224718512884875
ITIH3,1.6799473101652223,1.708567183657757,0.5356092010838189,3.189951143857177,0.0014229684738211743,NA
EEF1DP5,0.6123244523098494,1.698587251212241,0.6897437807228604,2.4626351098549955,0.013792019789534428,NA
TRARG1,16.3733904143492,1.6955491968538887,0.34685824220838457,4.888305914423799,1.0170740016189183e-6,4.6892432164873446e-4
KRTAP19-3,0.9733428722258092,1.6925175236384007,0.5410537042694685,3.1281876647044498,0.0017588783902885321,NA
CERKL,2.420302825432814,1.6923818435220304,0.5580864415759185,3.032472601812545,0.002425591155890477,0.029939245761396064
IL25,0.28445550703998584,1.668672480504782,1.0909435114750985,1.5295681792437796,0.12612365092439146,NA
RN7SL311P,0.20227359240641274,1.6647985807033274,1.3540856395735381,1.2294632865522794,0.21889815473037189,NA
AQP7B,0.5504798603784741,1.6556505223177838,0.6752598163694876,2.4518718309336616,0.01421152719418241,NA
CYP4A22,0.3376816320421111,1.643772564940043,0.7642751368677249,2.150760224487762,0.03149513008482862,NA
S100B,6.987347252202865,1.6386823315599177,0.4430761445594461,3.698421482811429,2.1694443614607962e-4,0.00710022528321057
PLIN1,113.6600650506997,1.6378382381244572,0.3062890671513129,5.347361083950583,8.924586020746866e-8,1.2519832452346306e-4
LGALS12,3.0700342287220512,1.6064601138664767,0.4662518295506629,3.44547734089249,5.700517577884948e-4,0.01275242865721403
KCNJ16,7.614348068158802,1.6059176879915702,0.3684409617514988,4.358683899741605,1.3084694474296853e-5,0.0016501805118830668
TNFSF11,0.6749649813618175,1.5952982628160874,0.5962925213968989,2.6753618493803635,0.007464863191360199,NA
SLC26A3,0.5657758421845928,1.5914700551712768,0.731671620673177,2.17511518856921,0.02962148554899425,NA
DNAH11,3.6964162534078304,1.578421525460815,0.47100879721696987,3.3511508379188855,8.047645428564897e-4,0.01565796486213015
HP,0.3700839729829789,1.5765863763545025,0.8183980284525325,1.92642983186994,0.054050725487954775,NA
SAA1,19.81378106134034,1.5678094433724783,0.6078833100338971,2.5791289503984793,0.009904980454841212,0.0706195496556109
CCDC144NL,0.509715714467478,1.5590290347546616,0.7631716444176051,2.0428288264619616,0.041069385899678665,NA
COL19A1,3.438452872848477,1.5540745451989089,0.45994190428416293,3.3788496562791224,7.278980296045672e-4,0.014653532908921059
AMY2A,0.36839660693065357,1.5513128745724585,0.9973483475842176,1.5554373537892319,0.11984194365599601,NA
SLC19A3,6.491114925513232,1.5359775496561932,0.39711347691505544,3.8678555096853247,1.0979668813380431e-4,0.00504212306656697
GLYAT,1.4463505805308174,1.528480316432161,0.6395610123348047,2.3898897633741543,0.016853430537868124,NA
ASTL,0.40167518200934244,1.5152076908966026,0.7402372060256777,2.0469218225759414,0.04066576105317683,NA
