Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ITLN1,2.0392971610255026,3.381432775743847,1.3230463934220005,2.555793048948134,0.010594610864995462,0.7679579361283853
LEP,12.854243356454592,2.471431137599447,0.680813520578801,3.630114653860477,2.8329535303845305e-4,0.6271627547909057
PLEKHG6,1.1482482584117828,2.180955431562752,0.626127714099927,3.483243725599858,4.953771523143362e-4,0.6283859177107355
MRAP,1.1280962445018774,2.153666067749384,0.5981962210060596,3.6002669226617665,3.178906762326271e-4,0.6271627547909057
KLB,3.599736694989325,2.073565216393297,0.7609633261113737,2.7249213532924084,0.006431680545936174,0.6938814579568795
MAL2,0.9892523501207279,2.0618644387559533,0.9884293142275402,2.0860008996873036,0.03697854156569242,0.9504982451858224
LINC02660,0.5670779062749711,2.0458567934573257,0.8513963281305593,2.4029429372211237,0.0162637250461268,0.8441445859250787
SLC7A10,1.222313608721076,2.031123565249807,0.736459566867698,2.7579566572657344,0.0058163909395239285,0.6938132516683947
ITIH3,1.6799473101652223,1.9838167132147015,0.6324940880803276,3.136498428365949,0.001709783532233193,0.6677329080919367
PCK1,2.858097490447112,1.8308855280769119,0.736255337343825,2.486753487835028,0.012891469238712603,0.8355556667009454
MIR3685,1.012440133968431,1.8244174035524168,0.6070684724835411,3.0052909782790285,0.0026532688920875933,0.6938132516683947
CALB2,1.9842579126732862,1.8202684767982371,0.6347952241046713,2.8674892432683037,0.004137428687464181,0.6938132516683947
CCL16,0.5011863292205777,1.7913739330035934,0.7720145202747124,2.320388912330501,0.020319848147608482,0.844999006054703
SNX32,0.8918240983520589,1.776720133295991,0.7444971505673554,2.3864700246898383,0.017010994069932853,0.8441445859250787
SAA4,0.3540701220780582,1.7617634467549912,1.1277633997122654,1.5621746965759689,0.11824683980967211,0.9994899122206602
EEF1DP5,0.6123244523098494,1.7561997140343522,0.808873629286324,2.1711669789307657,0.02991855248266645,0.9127543726957843
ACRP1,0.393945406840178,1.7461031800021174,0.8336495190751477,2.0945291037164484,0.036212873271615535,0.9481379992948202
KCNK17,0.3800509054133837,1.7459459107238775,1.0110892590027223,1.726797011419124,0.08420412542571488,0.9994899122206602
GRM4,1.0449679659064126,1.743219819552974,0.5519261367862839,3.1584295494742647,0.0015862164345036628,0.6504585980518586
TEX56P,0.6870778382547699,1.7272861752893305,0.5755487162811929,3.0011120282743176,0.0026899558068981854,0.6938132516683947
RN7SL311P,0.20227359240641274,1.720887558638552,1.5785837083550673,1.0901465342194425,0.27564860067059377,0.9994899122206602
LINC02817,0.4158460085407705,1.7086853510673932,0.9082230608485565,1.8813498849841594,0.05992433926804153,0.9994899122206602
MTND4P24,1.1197919512146708,1.6978308262241648,0.7677667332719268,2.2113888928068843,0.02700891833851205,0.9072723526762665
PEX5L,1.9470112553273513,1.696028841889434,0.5289742763332913,3.206259581554426,0.001344726218296772,0.6504585980518586
CIDEA,6.635077294112423,1.6803617389177308,0.546268485409548,3.0760730003634227,0.0020974648596307527,0.6938132516683947
CYP4A22,0.3376816320421111,1.6717889537225938,0.8904183437012683,1.877532022502304,0.060445212669754216,0.9994899122206602
UPK2,0.2768434088089518,1.6394613696170144,1.0659300918161587,1.538057122323715,0.12403464861660946,0.9994899122206602
C10orf55,0.7927301272927199,1.6361375698062106,0.7303742979297156,2.2401357419667267,0.025082111770950703,0.8888673657665491
TRPV5,0.5921445799052678,1.6267965613745172,0.7569743339475848,2.1490775689723205,0.03162825154313329,0.9221481723684186
HP,0.3700839729829789,1.6108800572622597,0.9519466588442045,1.6921957152705298,0.09060866322997124,0.9994899122206602
ASH2LP3,0.3960958122007024,1.5991672733907387,0.8383384042918081,1.9075438572346521,0.05645019741192592,0.9839815907901801
PDE8B,1.5378409979120324,1.59081157051978,0.5760010483623567,2.761820616546892,0.005748004963348904,0.6938132516683947
ADIPOQ,73.71353757372125,1.5792391390846552,0.5395452316066168,2.9269819221311932,0.003422687749583153,0.6938132516683947
RPL21P4,0.5810953254103853,1.571463394780119,0.6402422873808558,2.4544823510623806,0.01410875899940366,0.837284715356423
EGFL6,1.2342533766617454,1.5510502882488675,0.9615703487533604,1.6130388070511383,0.1067360769623687,0.9994899122206602
LINC02433,0.35680761785781223,1.5463667030955133,1.369404796015409,1.1292254179297565,0.25880275383014845,0.9994899122206602
RBP4,12.06037452476024,1.5304547199531247,0.5200650205781374,2.9428141855258283,0.0032524356982327144,0.6938132516683947
CIDEC,16.41905107948869,1.5158960616241768,0.5798240346892547,2.6144070803077204,0.008938246949392915,0.7536555439943775
RNASE7,0.5890053580063845,1.5074372426641631,0.6707733179477506,2.2473124710389625,0.024620064423549776,0.8763536442006069
CD177,0.40770662195185975,1.5014088994298642,1.1595666444534996,1.294801731846533,0.1953886344159014,0.9994899122206602
IGLV7-46,0.36574651389616586,1.4997484937724692,1.4365248182981267,1.044011544157827,0.29648004862543503,0.9994899122206602
NNAT,1.0460529185183574,1.4623823552880975,0.6603367070585335,2.2146010355872416,0.026787460883724027,0.9061305101601048
ANGPTL8,0.5185068942968585,1.4615263733961272,1.057213312037134,1.3824328134687656,0.16683884662457693,0.9994899122206602
LGALS12,3.0700342287220512,1.4610705772286159,0.5329183662913818,2.7416405018958416,0.006113320914188777,0.6938132516683947
HEPACAM,1.6700054656620265,1.4425908446965041,0.5752078648848342,2.507947009704629,0.012143487653190784,0.8240962032357609
IL25,0.28445550703998584,1.4407100334007668,1.26906507242887,1.1352530809498875,0.25626929475582744,0.9994899122206602
ZFY-AS1,0.23801205281001434,1.4396105924715137,1.287826101030949,1.1178610150229569,0.26362635749718094,0.9994899122206602
MIP,0.6904755045558829,1.4262154830016394,0.727612263575105,1.960131177550478,0.04998045998749126,0.9760723111845688
LOC100130881,0.8076141871697944,1.42288014758218,0.5996997046439506,2.3726544078039224,0.017660779658776896,0.8442370448534926
CCL21,4.860664229809429,1.4194716388311175,0.6149005176359115,2.308457381510289,0.020973710632194477,0.844999006054703
CFAP107,9.816835780603547,1.4129331503560438,0.736129856851768,1.919407475739109,0.05493278558198595,0.9838633001085566
LRTM1,0.9888132501007268,1.4033470550074476,0.6186693602245122,2.26833126906136,0.02330902344948226,0.8593654806273352
RPS4XP14,0.4366341726690641,1.3957551960057826,0.7321028521490809,1.9065015139724653,0.05658516944564803,0.9841719595001694
GRIN3A,0.7489994168302294,1.381407238401524,0.7441062971474803,1.856464921338694,0.06338731852588275,0.9994899122206602
CHCT1,0.2679279890034349,1.3759895586934723,1.084462075836303,1.2688222016729838,0.204504484791811,0.9994899122206602
RPL37P20,0.3879204331673818,1.3755868430346267,1.0077055634169951,1.365068223271682,0.17223160836876877,0.9994899122206602
LOC100505664,0.9447881577097876,1.3657268769960864,0.6146965408291113,2.221790405968407,0.026297473403244037,0.896527880380433
ASXL3,0.31309804662180823,1.3525992215458245,1.0201321421399019,1.3259058955916396,0.18487086993214694,0.9994899122206602
LINC02631,0.32226142897770316,1.3487433490557454,0.9747120286573594,1.3837352052724787,0.16643954953493217,0.9994899122206602
EYS,0.2046897012756453,1.3484185241222453,1.3793805041548766,0.9775537062185744,0.32829510310543697,0.9994899122206602
FFAR4,0.45495150387934735,1.3438049089338198,1.143558781398432,1.1751078569747953,0.23995156767912607,0.9994899122206602
SLC7A4,0.42570023851733235,1.3421883890174187,0.8685076714725155,1.5453961238382603,0.12225047732110061,0.9994899122206602
TTTY10,0.43328041053389954,1.3369783312215002,0.9018839496117648,1.482428345461776,0.138226356415744,0.9994899122206602
GYG2,7.394696911560986,1.3264262330367358,0.5894646863411299,2.2502217075462223,0.024434874979279424,0.8763536442006069
PLIN1,113.6600650506997,1.3208633841505488,0.3391791609589747,3.894294037452122,9.848512956415146e-5,0.6271627547909057
GABRA2,0.635644178946163,1.3207451130774845,0.637040669583537,2.073250855303974,0.03814893975691899,0.9577167896194329
LOC102724701,1.033614734375113,1.3207114450172788,0.9171916443136577,1.4399514574792909,0.14988113319524216,0.9994899122206602
RN7SL660P,0.48261346592843407,1.3137835394093667,0.8056932755342814,1.630624928001483,0.10296948591388,0.9994899122206602
RPSAP6,0.4194919643287318,1.3088859309268495,1.0745514277655472,1.218076582568583,0.2231948718336028,0.9994899122206602
CTAGE11P,0.48165711349587115,1.3033506517184061,0.6560851826542854,1.9865570602364722,0.0469715036692491,0.9760723111845688
GLYAT,1.4463505805308174,1.2985019390177286,0.7284117998857914,1.7826481383488328,0.0746435984702456,0.9994899122206602
C3orf86P,0.4208411550492285,1.2981221481059446,0.9549008497550137,1.3594313466565526,0.1740099435984067,0.9994899122206602
TRARG1,16.3733904143492,1.2961847823111765,0.3800037946139182,3.4109785235910426,6.473018981991304e-4,0.6504585980518586
AMY2A,0.36839660693065357,1.2948049812388924,1.1581017623864054,1.118040765753429,0.26354958299275266,0.9994899122206602
GABRP,0.5804357079576381,1.2922165176789653,0.7124326976991587,1.8138085490071565,0.06970720588588997,0.9994899122206602
MKX,0.5035965217084671,1.2857792706964173,0.8913594141664402,1.4424925010735665,0.14916348556716613,0.9994899122206602
AQP7B,0.5504798603784741,1.2844437227555652,0.785631983585963,1.6349178108722235,0.10206627821371453,0.9994899122206602
RN7SL192P,0.31819924115870535,1.2707120543785726,1.0395244063034876,1.222397518204676,0.2215573373296604,0.9994899122206602
ENTPD8,0.5910935158534489,1.267327243166423,0.8749752973865893,1.448414883199247,0.14750105487234652,0.9994899122206602
LEMD1-AS1,0.4966118453544797,1.258779523062305,0.9070541137373224,1.3877667318830331,0.16520808823501815,0.9994899122206602
NCMAP,0.2168155535119995,1.2524254364777785,1.6042671130691573,0.7806838563696148,0.43498845780023304,0.9994899122206602
MIR3926-1,0.2060269161696191,1.2488905738526601,1.7120134947642849,0.7294864074798727,0.46570417934964287,0.9994899122206602
CYTL1,0.3429219141214924,1.2416039994806864,0.9769509395960267,1.2708969807573909,0.20376530067864088,0.9994899122206602
CT69,0.6679823977646728,1.2368164792310863,0.7066610896410872,1.750225811724351,0.08007935656556002,0.9994899122206602
CCL18,0.47329185350147585,1.2311818148933575,0.9938328450557409,1.2388218210118669,0.21541149096392528,0.9994899122206602
EPN3,0.3453286348226941,1.2279506718495177,1.0052538373836395,1.2215329364426881,0.2218843029511045,0.9994899122206602
MTFP1,0.6066483059167112,1.225976451708167,0.6800103685892821,1.8028790564642725,0.07140721083936982,0.9994899122206602
LOC344065,0.7953176029605974,1.2244201762729405,0.6189303012035172,1.9782844270058215,0.04789662892945106,0.9760723111845688
RPL37P6,0.4519501159017622,1.2239176660871105,0.7788056916630575,1.5715314862087915,0.11605924671957221,0.9994899122206602
IGFBP7-AS1,0.5253665315763321,1.2210752685757622,0.7308043279284853,1.6708648565847761,0.09474837444812331,0.9994899122206602
PRMT5-DT,0.45847120084395154,1.216734081110681,0.9589171063262981,1.2688626296094603,0.20449006287352625,0.9994899122206602
SLC19A3,6.491114925513232,1.2117467648476774,0.4430353393803902,2.73510182402689,0.006236098217781835,0.6938132516683947
MDFI,3.3609230263752883,1.2109306501473862,0.38076895697746405,3.1802241962152804,0.0014716114967588316,0.6504585980518586
