Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SAA1,19.138494202099587,5.156217234447726,0.6344458635326038,8.127119319113902,4.3961259548751395e-16,1.0239547922166965e-13
CACNA1E,2.9550183178288156,4.720689034016905,0.8814543356172448,5.355568454616776,8.528784852060914e-8,1.7110039857014822e-6
DNAH11,3.6964162534078304,4.41350584017577,0.56750315510046,7.777059564355173,7.422966148859691e-15,1.3052048811744959e-12
CERKL,2.420302825432814,4.302442453312761,0.6458656642564652,6.661512898763286,2.7102300724800848e-11,1.5603857687443628e-9
COL19A1,3.438452872848477,4.116651117314848,0.5657189753168367,7.276848217808631,3.417093436465447e-13,3.626365135089219e-11
PEX5L,1.9470112553273513,4.019422541261287,0.6285554822591187,6.394698089045226,1.6086488178102595e-10,7.53292860246136e-9
ELAVL2,3.7149196981504824,3.919328268870094,0.5155543112542408,7.602163697041249,2.9122002450403276e-14,4.21212188667728e-12
SAA2,4.10507180314575,3.742971288370566,0.7885780089087726,4.746481953700505,2.069851824280233e-6,2.5761826834466325e-5
SLC6A10P,11.702074051098712,3.7272003131860805,0.7123322143182031,5.2323905030092,1.6733177749556702e-7,2.9831962518717643e-6
TJP3,3.9019977601132796,3.6024407885362226,0.5142650687821085,7.005027187764445,2.469378772897791e-12,2.0131049223600854e-10
KRT80,3.6113031503347393,3.5662880759077167,0.7802672517007563,4.570598174066953,4.863340197200755e-6,5.361032970915522e-5
CYP3A5,2.0406779241912503,3.5058567320932896,0.5857208844438265,5.985541620941669,2.1567096106357824e-9,7.167070341085646e-8
GRIA2,1.8364447325569575,3.4643815591027147,0.6285107811148228,5.512047944440599,3.54682266455034e-8,8.021723138551115e-7
PSD2,4.61621957284372,3.417932454216148,0.505713487444917,6.758634165533175,1.3929862330930473e-11,8.859293649121916e-10
EGFL6,1.2342533766617454,3.40732438832561,1.0236260160411421,3.328680919525067,8.725831068669194e-4,0.004445959665243806
PRR32,2.656239706280284,3.394034797998293,0.6431373388660607,5.277309515231135,1.3109435916872314e-7,2.456820618276959e-6
GRB7,1.8883796581236152,3.3652141107709537,0.6295906279395429,5.345082918061007,9.037567194264235e-8,1.7910361063992161e-6
PRL,1.5949615063388776,3.353210317021366,0.6912941042472152,4.850627679911787,1.2307137848441763e-6,1.6509238392805012e-5
KCNE5,2.5810277997404354,3.27913596734808,0.7165893359792335,4.576032328009844,4.73877349206087e-6,5.236592888485009e-5
METTL21C,41.95483071115565,3.261303993427658,0.48209841917070656,6.764809557014666,1.3348466488977895e-11,8.580815286015002e-10
SFRP5,1.683652532124602,3.260853115117617,1.508617565686864,2.161484255045759,0.03065795190706823,0.08135084590224421
KCNJ16,7.614348068158802,3.2147004610406853,0.40615120087172474,7.915033746400243,2.4718603679567053e-15,4.818784315141686e-13
FEZF1-AS1,1.2879019931065143,3.07580939583006,0.7268892977144277,4.231468815817467,2.3217018683265386e-5,2.0398507637844833e-4
ARHGAP36,51.146857254952074,3.033837226220672,0.34657595899208204,8.753744013415494,2.063889446601562e-18,8.225746049955336e-16
SNAP25,0.924901091194253,3.0285827233635856,0.8684580410573813,3.4873103594920587,4.8790480501831817e-4,0.002726884598941582
ADH4,1.0501825456349003,2.9903275885738703,0.7976315312154797,3.7490087484593624,1.7753489312483065e-4,0.0011530373812645154
PURPL,0.9129272688986536,2.9750493854417663,0.7355707183721703,4.044545699189329,5.2424682106030904e-5,4.082660328144439e-4
SLPI,19.926361465122703,2.9722400268060585,0.3771722352735447,7.880325614769701,3.265290401201909e-15,6.16452456269013e-13
HEPACAM,1.6700054656620265,2.954946138375407,0.6620609984831449,4.463253605250145,8.072441428956407e-6,8.268374473348553e-5
NHLH2,1.144507282687971,2.95288971629876,0.679897920322089,4.343136856338498,1.4046257108954235e-5,1.341425033275262e-4
ERBB3,49.070138627432456,2.9510371861514315,0.31115638146440383,9.484096621328748,2.4449156782095515e-21,2.4360868160382392e-18
LMO3,3.5525905126451276,2.9341792249309604,0.4522810997237312,6.487512360616567,8.726518273087144e-11,4.287948088433368e-9
ALDH3A1,2.1687755362409318,2.9206835519679992,0.5690764065316666,5.132322335709899,2.8618882838416013e-7,4.7394244109602145e-6
LRTM1,0.9888132501007268,2.9071305030190673,0.6785315010455422,4.284444419366676,1.8319639726439593e-5,1.661925839624148e-4
NSG2,1.1511001419341342,2.8774703181454346,0.6564071999478244,4.383666599595731,1.1669832752365342e-5,1.1430827439304883e-4
GABRB2,4.875331991717244,2.86401731660529,0.3781043420674629,7.574674495788468,3.6002917910616446e-14,4.891760096415954e-12
KRTAP19-3,0.9733428722258092,2.8596081848952486,0.6488037318077811,4.407508842354278,1.045663331893556e-5,1.0407309576865108e-4
NPC1L1,2.891627546442797,2.826289841936073,0.5046422400378091,5.600581199315221,2.1363430650707613e-8,5.170757472610541e-7
LINC02502,4.629927982069718,2.82363874663689,0.4144234635729441,6.813414284734126,9.530915609834535e-12,6.42620193467603e-10
LINC02660,0.5670779062749711,2.8209549925384563,0.8769980608382978,3.2166034550201683,0.0012971775559871628,0.006161819168301758
SCN5A,6.215190346922187,2.8150850677361414,0.616372410682985,4.5671821433682025,4.943244482947312e-6,5.435750447679953e-5
KCNC2,1.1294083990201438,2.802750264259492,1.0189182735907314,2.7507115505765007,0.0059465980649642865,0.021441945374976776
MAL2,0.9892523501207279,2.7948634971169652,1.021647404222149,2.735643907640414,0.0062258357162177135,0.02225196563777694
CHI3L1,1.9745140809347688,2.791821511124651,0.6979287363400128,4.000152688604224,6.330162744347777e-5,4.7903573341720414e-4
LEP,12.854243356454592,2.7839046618104737,0.7021677070787881,3.9647289867434767,7.34793811404188e-5,5.421712536104634e-4
LMO7-AS1,1.1379178195879383,2.779450742690745,0.9219097676678217,3.0148837122335643,0.0025707780030705565,0.010910294246348895
